num_try,mode,val_loss,val_acc,val_error,val_abs_error,execution_time_train,execution_time_load_saved_model,execution_time_use_saved_model,batch_size,n_nodes,activations,L1_penalty,L2_penalty,learning_rate,dropout_prob,use_batch_norm,num_epoch_used,criterion_name,criterion_params
14,Mode.DLMT_DQ_F_TORQUE,13.85921480178833,3.202054023742676,25.07837116718292,25.07837116718292,80.70669889450073,0.0031838791370391,0.000333582162857,64,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.001,0.001,0.01,0.5,True,254,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
15,Mode.DLMT_DQ_F_TORQUE,6.187571926116943,1.9633222818374636,15.06948620080948,15.06948620080948,82.88979744911194,0.0031917606592178,0.0003334436416625,64,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.001,0.01,0.01,0.0,True,269,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
16,Mode.DLMT_DQ_F_TORQUE,6.9768388557434085,2.168088674545288,-1.5971099957823751,1.5971099957823751,69.54583501815796,0.0032287811040878,0.0003368592262268,64,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.001,0.01,0.01,0.2,True,217,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
17,Mode.DLMT_DQ_F_TORQUE,15.431536293029785,3.3207740783691406,24.838651716709137,24.838651716709137,86.36044025421143,0.0031898854970932,0.0003336844444274,64,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.001,0.01,0.01,0.5,True,271,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
18,Mode.DLMT_DQ_F_TORQUE,6.385911417007447,1.9944626092910769,9.76644605398178,9.76644605398178,69.53212022781372,0.0033017436265945,0.0003440957069396,64,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.01,0.0,0.01,0.0,True,224,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
19,Mode.DLMT_DQ_F_TORQUE,8.283607082366943,2.36841893196106,-1.009864080697298,1.009864080697298,84.45430254936218,0.0033334188461303,0.000342068195343,64,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.01,0.0,0.01,0.2,True,264,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
20,Mode.DLMT_DQ_F_TORQUE,13.295450801849364,3.156323194503784,14.02837485074997,14.02837485074997,109.64472556114195,0.0031728978157043,0.0003341813087463,64,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.01,0.0,0.01,0.5,True,341,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
21,Mode.DLMT_DQ_F_TORQUE,6.269334764480591,2.0782978534698486,29.177826642990112,29.177826642990112,55.7878999710083,0.0031967599391937,0.0003348467350006,64,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.01,0.001,0.01,0.0,True,179,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
22,Mode.DLMT_DQ_F_TORQUE,5.817949419021606,2.0442545413970947,11.769890040159224,11.769890040159224,77.0310161113739,0.0032949296236038,0.0003409442901611,64,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.01,0.001,0.01,0.2,True,242,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
23,Mode.DLMT_DQ_F_TORQUE,12.17769193649292,2.975284576416016,27.73003578186035,27.73003578186035,78.2636890411377,0.0033340629339218,0.0003478662967681,64,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.01,0.001,0.01,0.5,True,242,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
