num_try,mode,val_loss,test_acc,test_error,test_abs_error,execution_time_train,execution_time_load_saved_model,execution_time_use_saved_model,batch_size,n_nodes,activations,L1_penalty,L2_penalty,learning_rate,dropout_prob,use_batch_norm,num_epoch_used,criterion_name,criterion_params
0,Mode.TORQUE,9.048637630462649,3.895782709121704,-39.05269503593445,39.05269503593445,108.5857434272766,0.0023811894893646,0.0002450564861297,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.0,0.01,0.0,True,229,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
1,Mode.TORQUE,9.831898593902588,4.1228766441345215,-24.5460107922554,24.5460107922554,109.44641733169556,0.0023996417045593,0.0002470483779907,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.0,0.01,0.2,True,238,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
2,Mode.TORQUE,14.808362014770507,6.0604248046875,-79.18589115142822,79.18589115142822,110.04401683807372,0.0024029268741607,0.0002474035739898,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.0,0.01,0.5,True,239,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
3,Mode.TORQUE,8.652221088409425,3.8922274112701416,-64.39031958580017,64.39031958580017,127.13949012756348,0.0024062633514404,0.0002482697486877,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.1,0.01,0.0,True,285,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
4,Mode.TORQUE,9.279817348480224,4.00567102432251,-24.696040153503414,24.696040153503414,114.27367639541626,0.002406889629364,0.0002488667488098,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.1,0.01,0.2,True,248,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
5,Mode.TORQUE,15.66168246459961,6.015939235687256,-94.68860626220705,94.68860626220705,103.91732692718506,0.0024222958564758,0.0002503447055816,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.1,0.01,0.5,True,225,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
6,Mode.TORQUE,9.37537802886963,3.8155112266540527,-57.712674140930176,57.712674140930176,80.53622817993164,0.0024009935379028,0.0002475873947143,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.001,0.01,0.0,True,179,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
7,Mode.TORQUE,9.304119659423828,3.956160068511963,-36.75627410411835,36.75627410411835,195.099449634552,0.0024054745197296,0.0002491881370544,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.001,0.01,0.2,True,419,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
8,Mode.TORQUE,13.798456192016602,5.605668544769287,-74.57847595214844,74.57847595214844,120.37710571289062,0.0026765939712524,0.0002729423522949,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.001,0.01,0.5,True,258,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
9,Mode.TORQUE,9.22466934967041,3.872164726257324,-61.28665804862976,61.28665804862976,109.95813035964966,0.002417558813095,0.0002490333080291,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.1,0.0,0.01,0.0,True,242,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
