muscle_selected,q_clavicle_effector_right_RotX,q_clavicle_effector_right_RotY,q_scapula_effector_right_RotX,q_scapula_effector_right_RotY,q_scapula_effector_right_RotZ,q_humerus_right_RotY,q_humerus_right_RotX,q_humerus_right_RotY_1,qdot_clavicle_effector_right_RotX,qdot_clavicle_effector_right_RotY,qdot_scapula_effector_right_RotX,qdot_scapula_effector_right_RotY,qdot_scapula_effector_right_RotZ,qdot_humerus_right_RotY,qdot_humerus_right_RotX,qdot_humerus_right_RotY_1,alpha,origin_muscle_x,origin_muscle_y,origin_muscle_z,insertion_muscle_x,insertion_muscle_y,insertion_muscle_z,segment_length,dlmt_dq_clavicle_effector_right_RotX,dlmt_dq_clavicle_effector_right_RotY,dlmt_dq_scapula_effector_right_RotX,dlmt_dq_scapula_effector_right_RotY,dlmt_dq_scapula_effector_right_RotZ,dlmt_dq_humerus_right_RotY,dlmt_dq_humerus_right_RotX,dlmt_dq_humerus_right_RotY_1,muscle_force,torque
1,0.0,0.0,0.0,0.0,-0.05,0.0,-1.4311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0626543,-0.147759,0.0220602,-0.0142463569675964,-0.0026660347389509,0.2032686961373495,0.244938344276033,-0.0470230942697526,0.1078575423931668,-0.0311444942917568,-0.0020555660786209,-0.0378085246861172,-0.0259864961818576,-0.0108799831613429,-0.0099651729847233,376.2437938582454,-164.68272066269412
1,0.0,0.0,0.0,0.0,-0.0485,0.0,-1.4311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0626543,-0.147759,0.0220602,-0.0141856062473734,-0.0027045194402516,0.2032506753106398,0.2448810979652447,-0.0470179679157267,0.1078677265612895,-0.0311683549429525,-0.0020932836677091,-0.0378098647844466,-0.0259771167069738,-0.010911614606723,-0.0099800851617429,376.1060804063742,-164.6155348100583
1,0.0,0.0,0.0,0.0,-0.047,0.0,-1.4311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0626543,-0.147759,0.0220602,-0.0141248237709774,-0.002742921999691,0.2032325864651415,0.244823853577813,-0.0470128172951968,0.1078779022582756,-0.0311921771924727,-0.0021310471836173,-0.0378111211379422,-0.0259676773316082,-0.0109432466201691,-0.0099949877908719,375.96824817771295,-164.54827842046672
1,0.0,0.0,0.0,0.0,-0.0455,0.0,-1.4311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0626543,-0.147759,0.0220602,-0.0140640096751688,-0.0027812423308634,0.2032144296415544,0.2447666112488909,-0.0470076423945166,0.1078880694539548,-0.0312159609473315,-0.0021688565912115,-0.0378122936557969,-0.0259581780137242,-0.0109748791325059,-0.0100098808292407,375.8302989600255,-164.48095204619847
1,0.0,0.0,0.0,0.0,-0.044,0.0,-1.4311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0626543,-0.147759,0.0220602,-0.0140031640967794,-0.0028194803475481,0.2031962048807315,0.2447093711137094,-0.0470024432000423,0.1078982281180285,-0.0312397061144336,-0.002206711855148,-0.0378133822472256,-0.0259486187113496,-0.0110065120744018,-0.0100247642339089,375.69223453787305,-164.41355624025556
1,0.0,0.0,0.0,0.0,-0.0425,0.0,-1.4311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0626543,-0.147759,0.0220602,-0.0139422871727116,-0.0028576359637095,0.2031779122236783,0.2446521333075773,-0.0469972196981339,0.1079083782200697,-0.0312634126005746,-0.0022446129398729,-0.0378143868214658,-0.025938999382577,-0.0110381453763691,-0.0100396379618652,375.5540566925164,-164.34609155633666
1,0.0,0.0,0.0,0.0,-0.041,0.0,-1.4311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0626543,-0.147759,0.0220602,-0.0138813790399386,-0.0028957090934976,0.2031595517115534,0.2445948979658812,-0.0469919718751541,0.1079185197295221,-0.0312870803124412,-0.002282559809621,-0.0378153072877787,-0.0259293199855644,-0.0110697789687636,-0.0100545019700273,375.4157672018192,-164.27855854881022
1,0.0,0.0,0.0,0.0,-0.0395,0.0,-1.4311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0626543,-0.147759,0.0220602,-0.0138204398355035,-0.0029336996512478,0.203141123385668,0.2445376652240847,-0.0469866997174696,0.1079286526157007,-0.0313107091566108,-0.0023205524284159,-0.0378161435554494,-0.0259195804785355,-0.0111014127817841,-0.0100693562152413,375.2773678401495,-164.21095777268738
1,0.0,0.0,0.0,0.0,-0.038,0.0,-1.4311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0626543,-0.147759,0.0220602,-0.0137594696965197,-0.0029716075514813,0.2031226272874857,0.2444804352177288,-0.0469814032114503,0.1079387768477903,-0.031334299039552,-0.0023585907600682,-0.0378168955337876,-0.0259097808197805,-0.0111330467454724,-0.0100842006542828,375.13886037828246,-164.14328978359464
1,0.0,0.0,0.0,0.0,-0.0365,0.0,-1.4311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0626543,-0.147759,0.0220602,-0.0136984687601698,-0.0030094327089055,0.2031040634586228,0.2444232080824309,-0.0469760823434699,0.1079488923948463,-0.0313578498676245,-0.0023966747681758,-0.0378175631321285,-0.0258999209676566,-0.0111646807897128,-0.0100990352438556,375.0002465833021,-164.07555513774636
1,0.0,0.0,0.0,0.0,-0.035,0.0,-1.4311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0626543,-0.147759,0.0220602,-0.013637437163706,-0.0030471750384137,0.2030854319408478,0.2443659839538851,-0.0469707370999058,0.1079589992257936,-0.0313813615470792,-0.0024348044161227,-0.0378181462598331,-0.0258900008805886,-0.0111963148442321,-0.0101138599405926,374.8615282185041,-164.00775439191708
1,0.0,0.0,0.0,0.0,-0.0335,0.0,-1.4311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0626543,-0.147759,0.0220602,-0.0135763750444494,-0.0030848344550857,0.2030667327760817,0.2443087629678616,-0.0469653674671394,0.1079690973094267,-0.0314048339840582,-0.0024729796670781,-0.037818644826289,-0.025880020517069,-0.0112279488385989,-0.0101286747010551,374.7227070432979,-163.93988810341375
1,0.0,0.0,0.0,0.0,-0.032,0.0,-1.4311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0626543,-0.147759,0.0220602,-0.0135152825397895,-0.0031224108741878,0.2030479660063976,0.2442515452602068,-0.0469599734315561,0.1079791866144093,-0.0314282670845953,-0.0025112004839961,-0.0378190587409112,-0.0258699798356591,-0.0112595827022238,-0.0101434794817332,374.5837848131082,-163.87195683004796
1,0.0,0.0,0.0,0.0,-0.0305,0.0,-1.4311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0626543,-0.147759,0.0220602,-0.0134541597871847,-0.0031599042111731,0.2030291316740207,0.2441943309668424,-0.0469545549795455,0.1079892671092738,-0.0314516607546154,-0.002549466829615,-0.0378193879131426,-0.0258598787949895,-0.0112912163643588,-0.0101582742390454,374.44476327927725,-163.80396113010698
1,0.0,0.0,0.0,0.0,-0.0289999999999999,0.0,-1.4311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0626543,-0.147759,0.0220602,-0.013393006924161,-0.0031973143816816,0.2030102298213282,0.2441371202237658,-0.0469491120975014,0.1079993387624211,-0.0314750148999351,-0.002587778666456,-0.0378196322524544,-0.02584971735376,-0.0113228497540971,-0.0101730589293388,374.30564418896745,-163.73590156232632
