num_try,mode,val_loss,test_acc,test_error,test_abs_error,execution_time_train,execution_time_load_saved_model,execution_time_use_saved_model,batch_size,n_nodes,activations,L1_penalty,L2_penalty,learning_rate,dropout_prob,use_batch_norm,num_epoch_used,criterion_name,criterion_params
15,Mode.DLMT_DQ_FM,9.975259811401367,2.1125221252441406,21352460800.0,21352460800.0,214.91428589820862,0.0033347079277038574,0.0003618037223815918,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.1,0.01,0.2,True,298,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
16,Mode.DLMT_DQ_FM,3.502091691970825,1.1888030767440796,3092953907200.0,3092953907200.0,296.7543103694916,0.003336147737503052,0.0003649192810058594,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.001,0.01,0.0,True,420,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
17,Mode.DLMT_DQ_FM,10.491665161132813,2.2128825187683105,-133785766400.0,133785766400.0,216.64438891410828,0.0033416242599487306,0.00035882883071899414,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.001,0.01,0.2,True,300,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
18,Mode.DLMT_DQ_FM,3.105145742416382,1.0886062383651733,386621007462400.0,386621007462400.0,227.36869144439697,0.003647904109954834,0.0003550901889801025,128,"[256, 256]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.0,0.01,0.0,True,295,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
19,Mode.DLMT_DQ_FM,5.8773742752075195,1.6052345037460327,-90310161203200.0,90310161203200.0,242.0927038192749,0.0036518813610076904,0.00035839877128601076,128,"[256, 256]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.0,0.01,0.2,True,302,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
20,Mode.DLMT_DQ_FM,3.3225110912323,1.175286889076233,135692301107200.0,135692301107200.0,260.7719554901123,0.003658121871948242,0.00035681304931640625,128,"[256, 256]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.1,0.01,0.0,True,336,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
21,Mode.DLMT_DQ_FM,5.709234081268311,1.5481748580932617,-1086874009600.0,1086874009600.0,226.8436827659607,0.0036593700408935545,0.0003600860595703125,128,"[256, 256]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.1,0.01,0.2,True,284,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
22,Mode.DLMT_DQ_FM,3.3019875717163085,1.1144808530807495,-898466054144000.0,898466054144000.0,193.57961678504944,0.003656753206253052,0.0003564483165740967,128,"[256, 256]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.001,0.01,0.0,True,250,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
23,Mode.DLMT_DQ_FM,5.60661612701416,1.5059951543807983,-5480553600.0,5480553600.0,259.3109164237976,0.0036597064971923827,0.0003637589454650879,128,"[256, 256]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.001,0.01,0.2,True,324,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
24,Mode.DLMT_DQ_FM,3.283813108444214,1.1185848712921143,244821105049600.0,244821105049600.0,252.7714822292328,0.0036562416076660158,0.0003587135314941406,128,"[256, 256]","[GELU(approximate='none'), GELU(approximate='none')]",0.1,0.0,0.01,0.0,True,326,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
25,Mode.DLMT_DQ_FM,5.986243902206421,1.6191049814224243,-1153675776000.0,1153675776000.0,257.31060767173767,0.0036610986232757567,0.0003591372966766357,128,"[256, 256]","[GELU(approximate='none'), GELU(approximate='none')]",0.1,0.0,0.01,0.2,True,320,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
26,Mode.DLMT_DQ_FM,2.9126596965789795,1.054093599319458,-115028878950400.0,115028878950400.0,270.1718921661377,0.0036635061264038084,0.00035616207122802737,128,"[256, 256]","[GELU(approximate='none'), GELU(approximate='none')]",0.1,0.1,0.01,0.0,True,347,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
