num_try,mode,val_loss,val_acc,val_error,val_abs_error,execution_time_train,execution_time_load_saved_model,execution_time_use_saved_model,batch_size,n_nodes,activations,L1_penalty,L2_penalty,learning_rate,dropout_prob,use_batch_norm,num_epoch_used,criterion_name,criterion_params
0,Mode.DLMT_DQ_FM,57.85525634765625,5.862021446228027,-277.1791696548462,277.1791696548462,51.03724503517151,0.001438301205635,0.0001576223373413,64,[32],[GELU(approximate='none')],0.01,0.01,0.01,0.0,True,233,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
1,Mode.DLMT_DQ_FM,117.84781845092772,5.988915920257568,-230.5424213409424,230.5424213409424,49.49440240859985,0.0014799822568893,0.0001583153009414,64,[32],[GELU(approximate='none')],0.01,0.01,0.01,0.0,True,229,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 1.0}"
2,Mode.DLMT_DQ_FM,149.49433715820314,5.96655797958374,-269.41356658935547,269.41356658935547,53.88911437988281,0.0014670107364654,0.0001600021123886,64,[32],[GELU(approximate='none')],0.01,0.01,0.01,0.0,True,250,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 0.5}"
3,Mode.DLMT_DQ_FM,295.7253192138672,6.011539936065674,-237.2241735458374,237.2241735458374,55.5193190574646,0.0014712570905685,0.0001606118679046,64,[32],[GELU(approximate='none')],0.01,0.01,0.01,0.0,True,259,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 1.0}"
4,Mode.DLMT_DQ_FM,59.14922393798828,5.944614887237549,-428.8295269012451,428.8295269012451,57.77899193763733,0.0014763456583023,0.0001609174013137,64,[32],[GELU(approximate='none')],0.01,0.01,0.01,0.2,True,264,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
5,Mode.DLMT_DQ_FM,118.9394073486328,5.973833560943604,-356.13203048706055,356.13203048706055,63.30582976341248,0.0014654442071914,0.0001603760719299,64,[32],[GELU(approximate='none')],0.01,0.01,0.01,0.2,True,291,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 1.0}"
6,Mode.DLMT_DQ_FM,147.5901742553711,5.998940467834473,-415.3987884521485,415.3987884521485,57.636311054229736,0.0014679979085922,0.000160298705101,64,[32],[GELU(approximate='none')],0.01,0.01,0.01,0.2,True,263,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 0.5}"
7,Mode.DLMT_DQ_FM,301.1869775390625,6.026424884796143,-441.02768898010254,441.02768898010254,55.24922966957092,0.0014624963998794,0.0001600688695907,64,[32],[GELU(approximate='none')],0.01,0.01,0.01,0.2,True,251,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 1.0}"
8,Mode.DLMT_DQ_FM,67.31078140258789,6.4780988693237305,-506.2074661254883,506.2074661254883,70.436527967453,0.0015310201644897,0.0001683421134948,64,[32],[GELU(approximate='none')],0.01,0.01,0.01,0.5,True,318,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
9,Mode.DLMT_DQ_FM,136.32533294677734,6.405557632446289,-448.63014221191406,448.63014221191406,75.62321186065674,0.0015259342193603,0.0001672667264938,64,[32],[GELU(approximate='none')],0.01,0.01,0.01,0.5,True,337,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 1.0}"
10,Mode.DLMT_DQ_FM,166.2793682861328,6.379196643829346,-484.40022468566895,484.40022468566895,47.29522037506104,0.0014667055606842,0.0001602922677993,64,[32],[GELU(approximate='none')],0.01,0.01,0.01,0.5,True,212,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 0.5}"
11,Mode.DLMT_DQ_FM,343.8825042724609,6.637762069702148,-473.5176086425781,473.5176086425781,66.51347088813782,0.0014647504091262,0.0001607064008712,64,[32],[GELU(approximate='none')],0.01,0.01,0.01,0.5,True,304,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 1.0}"
12,Mode.DLMT_DQ_FM,69.2565641784668,6.434834957122803,-274.3786811828613,274.3786811828613,57.747514724731445,0.0014771511554718,0.0001612671613693,64,[32],[GELU(approximate='none')],0.01,0.01,0.001,0.0,True,266,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
13,Mode.DLMT_DQ_FM,140.42209045410155,6.535552501678467,-201.52828693389893,201.52828693389893,46.6286051273346,0.0014648061990737,0.0001601033210754,64,[32],[GELU(approximate='none')],0.01,0.01,0.001,0.0,True,215,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 1.0}"
14,Mode.DLMT_DQ_FM,169.66865661621094,6.368117332458496,-237.93237209320068,237.93237209320068,75.72296261787415,0.0014675803184509,0.0001608873605728,64,[32],[GELU(approximate='none')],0.01,0.01,0.001,0.0,True,351,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 0.5}"
15,Mode.DLMT_DQ_FM,345.15678955078124,6.476624011993408,-241.939377784729,241.939377784729,69.48069858551025,0.0015080949068069,0.0001598930358886,64,[32],[GELU(approximate='none')],0.01,0.01,0.001,0.0,True,321,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 1.0}"
